"","Region","Search_Term_Value","Year","Search_Term"
"1412","Texas",74,"2015","Cholesterol"
"1413","Iowa",74,"2015","Cholesterol"
"1414","Louisiana",73,"2015","Cholesterol"
"1415","Nevada",72,"2015","Cholesterol"
"1416","Washington",71,"2015","Cholesterol"
"1417","Oklahoma",70,"2015","Cholesterol"
"1418","California",70,"2015","Cholesterol"
"1419","New Mexico",70,"2015","Cholesterol"
"1420","South Carolina",69,"2015","Cholesterol"
"1421","District of Columbia",69,"2015","Cholesterol"
"1422","Wyoming",67,"2015","Cholesterol"
"1423","Colorado",66,"2015","Cholesterol"
"1424","Utah",66,"2015","Cholesterol"
"1425","Alaska",64,"2015","Cholesterol"
"1426","Kansas",61,"2015","Cholesterol"
"1427","Virginia",54,"2015","Cholesterol"
"1428","Oregon",49,"2015","Cholesterol"
"1429","West Virginia",100,"2016","Cholesterol"
"1430","Virginia",89,"2016","Cholesterol"
"1431","Mississippi",89,"2016","Cholesterol"
"1432","New Jersey",88,"2016","Cholesterol"
"1433","Maryland",88,"2016","Cholesterol"
"1434","North Carolina",88,"2016","Cholesterol"
"1435","Pennsylvania",88,"2016","Cholesterol"
"1436","Missouri",87,"2016","Cholesterol"
"1437","Arizona",85,"2016","Cholesterol"
"1438","Tennessee",84,"2016","Cholesterol"
"1439","Connecticut",83,"2016","Cholesterol"
"1440","Kentucky",83,"2016","Cholesterol"
"1441","Ohio",83,"2016","Cholesterol"
"1442","Georgia",83,"2016","Cholesterol"
"1443","Delaware",82,"2016","Cholesterol"
"1444","New Hampshire",81,"2016","Cholesterol"
"1445","Maine",81,"2016","Cholesterol"
"1446","Alabama",81,"2016","Cholesterol"
"1447","Indiana",80,"2016","Cholesterol"
"1448","Florida",80,"2016","Cholesterol"
"1449","Illinois",79,"2016","Cholesterol"
"1450","New York",79,"2016","Cholesterol"
"1451","South Dakota",78,"2016","Cholesterol"
"1452","Arkansas",78,"2016","Cholesterol"
"1453","Idaho",78,"2016","Cholesterol"
"1454","California",78,"2016","Cholesterol"
"1455","Rhode Island",78,"2016","Cholesterol"
"1456","Michigan",78,"2016","Cholesterol"
"1457","North Dakota",77,"2016","Cholesterol"
"1458","Massachusetts",76,"2016","Cholesterol"
"1459","Hawaii",76,"2016","Cholesterol"
"1460","Louisiana",75,"2016","Cholesterol"
"1461","Texas",75,"2016","Cholesterol"
"1462","Wisconsin",74,"2016","Cholesterol"
"1463","Minnesota",73,"2016","Cholesterol"
"1464","Nebraska",73,"2016","Cholesterol"
"1465","Montana",72,"2016","Cholesterol"
"1466","South Carolina",71,"2016","Cholesterol"
"1467","Kansas",70,"2016","Cholesterol"
"1468","Wyoming",70,"2016","Cholesterol"
"1469","Vermont",70,"2016","Cholesterol"
"1470","Colorado",69,"2016","Cholesterol"
"1471","New Mexico",69,"2016","Cholesterol"
"1472","Oklahoma",69,"2016","Cholesterol"
"1473","Alaska",68,"2016","Cholesterol"
"1474","Oregon",68,"2016","Cholesterol"
"1475","Iowa",67,"2016","Cholesterol"
"1476","Nevada",67,"2016","Cholesterol"
"1477","Washington",66,"2016","Cholesterol"
"1478","District of Columbia",66,"2016","Cholesterol"
"1479","Utah",61,"2016","Cholesterol"
"1480","Connecticut",100,"2017","Cholesterol"
"1481","West Virginia",90,"2017","Cholesterol"
"1482","Wisconsin",90,"2017","Cholesterol"
"1483","Mississippi",88,"2017","Cholesterol"
"1484","Alabama",86,"2017","Cholesterol"
"1485","New York",85,"2017","Cholesterol"
"1486","New Jersey",85,"2017","Cholesterol"
"1487","Florida",84,"2017","Cholesterol"
"1488","Kentucky",82,"2017","Cholesterol"
"1489","Delaware",82,"2017","Cholesterol"
"1490","Missouri",82,"2017","Cholesterol"
"1491","South Carolina",81,"2017","Cholesterol"
"1492","Arizona",81,"2017","Cholesterol"
"1493","Ohio",81,"2017","Cholesterol"
"1494","Indiana",81,"2017","Cholesterol"
"1495","Virginia",80,"2017","Cholesterol"
"1496","North Dakota",79,"2017","Cholesterol"
"1497","Pennsylvania",79,"2017","Cholesterol"
"1498","Texas",79,"2017","Cholesterol"
"1499","Georgia",79,"2017","Cholesterol"
"1500","Maryland",78,"2017","Cholesterol"
"1501","Maine",78,"2017","Cholesterol"
"1502","Massachusetts",78,"2017","Cholesterol"
"1503","Tennessee",78,"2017","Cholesterol"
"1504","Louisiana",78,"2017","Cholesterol"
"1505","Illinois",77,"2017","Cholesterol"
"1506","North Carolina",77,"2017","Cholesterol"
"1507","Rhode Island",76,"2017","Cholesterol"
"1508","Michigan",76,"2017","Cholesterol"
"1509","Hawaii",75,"2017","Cholesterol"
"1510","California",75,"2017","Cholesterol"
"1511","South Dakota",75,"2017","Cholesterol"
"1512","Wyoming",74,"2017","Cholesterol"
"1513","Oregon",74,"2017","Cholesterol"
"1514","New Hampshire",74,"2017","Cholesterol"
"1515","Arkansas",72,"2017","Cholesterol"
"1516","Montana",69,"2017","Cholesterol"
"1517","Colorado",68,"2017","Cholesterol"
"1518","Washington",68,"2017","Cholesterol"
"1519","Oklahoma",68,"2017","Cholesterol"
"1520","Nebraska",67,"2017","Cholesterol"
"1521","Vermont",67,"2017","Cholesterol"
"1522","Alaska",66,"2017","Cholesterol"
"1523","Minnesota",66,"2017","Cholesterol"
"1524","Iowa",66,"2017","Cholesterol"
"1525","Idaho",65,"2017","Cholesterol"
"1526","Kansas",65,"2017","Cholesterol"
"1527","District of Columbia",65,"2017","Cholesterol"
"1528","New Mexico",65,"2017","Cholesterol"
"1529","Nevada",63,"2017","Cholesterol"
"1530","Utah",55,"2017","Cholesterol"
"1531","Kentucky",100,"2018","Cholesterol"
"1532","Louisiana",98,"2018","Cholesterol"
"1533","New Jersey",96,"2018","Cholesterol"
"1534","Virginia",96,"2018","Cholesterol"
"1535","Connecticut",95,"2018","Cholesterol"
"1536","West Virginia",93,"2018","Cholesterol"
"1537","Florida",92,"2018","Cholesterol"
"1538","Alabama",92,"2018","Cholesterol"
"1539","North Carolina",92,"2018","Cholesterol"
"1540","New York",92,"2018","Cholesterol"
"1541","Mississippi",89,"2018","Cholesterol"
"1542","Pennsylvania",89,"2018","Cholesterol"
"1543","Texas",88,"2018","Cholesterol"
"1544","Tennessee",87,"2018","Cholesterol"
"1545","Georgia",87,"2018","Cholesterol"
"1546","Delaware",86,"2018","Cholesterol"
"1547","Arizona",85,"2018","Cholesterol"
"1548","Ohio",85,"2018","Cholesterol"
"1549","California",83,"2018","Cholesterol"
"1550","Maryland",82,"2018","Cholesterol"
"1551","South Carolina",81,"2018","Cholesterol"
"1552","Illinois",81,"2018","Cholesterol"
"1553","Massachusetts",81,"2018","Cholesterol"
"1554","Rhode Island",81,"2018","Cholesterol"
"1555","Oregon",81,"2018","Cholesterol"
"1556","Michigan",80,"2018","Cholesterol"
"1557","Indiana",80,"2018","Cholesterol"
"1558","Arkansas",80,"2018","Cholesterol"
"1559","Maine",79,"2018","Cholesterol"
"1560","New Hampshire",79,"2018","Cholesterol"
"1561","South Dakota",78,"2018","Cholesterol"
"1562","Missouri",78,"2018","Cholesterol"
"1563","Kansas",77,"2018","Cholesterol"
"1564","Hawaii",76,"2018","Cholesterol"
"1565","Washington",76,"2018","Cholesterol"
"1566","Minnesota",74,"2018","Cholesterol"
"1567","North Dakota",74,"2018","Cholesterol"
"1568","Idaho",74,"2018","Cholesterol"
"1569","Colorado",73,"2018","Cholesterol"
"1570","Nevada",72,"2018","Cholesterol"
"1571","Wisconsin",72,"2018","Cholesterol"
"1572","Nebraska",71,"2018","Cholesterol"
"1573","Montana",71,"2018","Cholesterol"
"1574","New Mexico",71,"2018","Cholesterol"
"1575","Oklahoma",71,"2018","Cholesterol"
"1576","District of Columbia",69,"2018","Cholesterol"
"1577","Vermont",69,"2018","Cholesterol"
"1578","Wyoming",67,"2018","Cholesterol"
"1579","Alaska",67,"2018","Cholesterol"
"1580","Iowa",67,"2018","Cholesterol"
"1581","Utah",58,"2018","Cholesterol"
"1582","New Jersey",100,"2019","Cholesterol"
"1583","West Virginia",97,"2019","Cholesterol"
"1584","Virginia",97,"2019","Cholesterol"
"1585","Connecticut",96,"2019","Cholesterol"
"1586","Florida",93,"2019","Cholesterol"
"1587","Mississippi",93,"2019","Cholesterol"
"1588","Alabama",92,"2019","Cholesterol"
"1589","Delaware",92,"2019","Cholesterol"
"1590","Maryland",91,"2019","Cholesterol"
"1591","Massachusetts",89,"2019","Cholesterol"
"1592","Kentucky",88,"2019","Cholesterol"
"1593","Louisiana",88,"2019","Cholesterol"
"1594","Texas",87,"2019","Cholesterol"
"1595","Pennsylvania",87,"2019","Cholesterol"
"1596","California",86,"2019","Cholesterol"
"1597","Tennessee",86,"2019","Cholesterol"
"1598","Ohio",86,"2019","Cholesterol"
"1599","Rhode Island",86,"2019","Cholesterol"
"1600","Georgia",85,"2019","Cholesterol"
"1601","Illinois",85,"2019","Cholesterol"
"1602","Arkansas",85,"2019","Cholesterol"
"1603","North Carolina",84,"2019","Cholesterol"
"1604","Missouri",84,"2019","Cholesterol"
"1605","South Carolina",84,"2019","Cholesterol"
"1606","Maine",83,"2019","Cholesterol"
"1607","Arizona",83,"2019","Cholesterol"
"1608","New York",82,"2019","Cholesterol"
"1609","Nevada",81,"2019","Cholesterol"
"1610","Hawaii",80,"2019","Cholesterol"
"1611","Michigan",79,"2019","Cholesterol"
"1612","New Hampshire",78,"2019","Cholesterol"
"1613","Washington",78,"2019","Cholesterol"
"1614","South Dakota",77,"2019","Cholesterol"
"1615","Minnesota",76,"2019","Cholesterol"
"1616","Indiana",76,"2019","Cholesterol"
"1617","District of Columbia",75,"2019","Cholesterol"
"1618","North Dakota",74,"2019","Cholesterol"
"1619","Oklahoma",74,"2019","Cholesterol"
"1620","Montana",73,"2019","Cholesterol"
"1621","Wisconsin",73,"2019","Cholesterol"
"1622","Oregon",73,"2019","Cholesterol"
"1623","Idaho",73,"2019","Cholesterol"
"1624","Colorado",72,"2019","Cholesterol"
"1625","New Mexico",71,"2019","Cholesterol"
"1626","Kansas",70,"2019","Cholesterol"
"1627","Alaska",70,"2019","Cholesterol"
"1628","Vermont",67,"2019","Cholesterol"
"1629","Nebraska",66,"2019","Cholesterol"
"1630","Iowa",65,"2019","Cholesterol"
"1631","Wyoming",65,"2019","Cholesterol"
"1632","Utah",58,"2019","Cholesterol"
"1633","Michigan",100,"2004","Cigarette"
"1634","Rhode Island",92,"2004","Cigarette"
"1635","Pennsylvania",88,"2004","Cigarette"
"1636","Maine",83,"2004","Cigarette"
"1637","Illinois",81,"2004","Cigarette"
"1638","Delaware",80,"2004","Cigarette"
"1639","West Virginia",79,"2004","Cigarette"
"1640","Wisconsin",79,"2004","Cigarette"
"1641","New Jersey",78,"2004","Cigarette"
"1642","Connecticut",78,"2004","Cigarette"
"1643","Wyoming",75,"2004","Cigarette"
"1644","Vermont",74,"2004","Cigarette"
"1645","Iowa",73,"2004","Cigarette"
"1646","North Dakota",73,"2004","Cigarette"
"1647","Hawaii",73,"2004","Cigarette"
"1648","Oregon",73,"2004","Cigarette"
"1649","Nebraska",72,"2004","Cigarette"
"1650","Alaska",72,"2004","Cigarette"
"1651","New York",72,"2004","Cigarette"
"1652","Kentucky",70,"2004","Cigarette"
"1653","Indiana",68,"2004","Cigarette"
"1654","Arizona",66,"2004","Cigarette"
"1655","Missouri",66,"2004","Cigarette"
"1656","Ohio",66,"2004","Cigarette"
"1657","Montana",65,"2004","Cigarette"
"1658","Arkansas",64,"2004","Cigarette"
"1659","Oklahoma",64,"2004","Cigarette"
"1660","Louisiana",62,"2004","Cigarette"
"1661","South Dakota",62,"2004","Cigarette"
"1662","Washington",61,"2004","Cigarette"
"1663","Maryland",60,"2004","Cigarette"
"1664","Kansas",59,"2004","Cigarette"
"1665","New Hampshire",59,"2004","Cigarette"
"1666","Mississippi",58,"2004","Cigarette"
"1667","Massachusetts",58,"2004","Cigarette"
"1668","Nevada",58,"2004","Cigarette"
"1669","District of Columbia",58,"2004","Cigarette"
"1670","Minnesota",57,"2004","Cigarette"
"1671","Alabama",57,"2004","Cigarette"
"1672","Virginia",55,"2004","Cigarette"
"1673","Tennessee",54,"2004","Cigarette"
"1674","South Carolina",52,"2004","Cigarette"
"1675","North Carolina",52,"2004","Cigarette"
"1676","Georgia",50,"2004","Cigarette"
"1677","Texas",50,"2004","Cigarette"
"1678","Colorado",48,"2004","Cigarette"
"1679","California",48,"2004","Cigarette"
"1680","Florida",47,"2004","Cigarette"
"1681","New Mexico",45,"2004","Cigarette"
"1682","Utah",39,"2004","Cigarette"
"1683","Idaho",36,"2004","Cigarette"
"1684","Maine",100,"2005","Cigarette"
"1685","West Virginia",90,"2005","Cigarette"
"1686","Arkansas",87,"2005","Cigarette"
"1687","Michigan",87,"2005","Cigarette"
"1688","New Jersey",87,"2005","Cigarette"
"1689","Montana",83,"2005","Cigarette"
"1690","Rhode Island",83,"2005","Cigarette"
"1691","Pennsylvania",82,"2005","Cigarette"
"1692","North Dakota",80,"2005","Cigarette"
"1693","Kentucky",80,"2005","Cigarette"
"1694","Ohio",78,"2005","Cigarette"
"1695","Hawaii",77,"2005","Cigarette"
"1696","New York",77,"2005","Cigarette"
"1697","Connecticut",76,"2005","Cigarette"
"1698","South Dakota",76,"2005","Cigarette"
"1699","Wisconsin",75,"2005","Cigarette"
"1700","Vermont",75,"2005","Cigarette"
"1701","Illinois",74,"2005","Cigarette"
"1702","Oklahoma",72,"2005","Cigarette"
"1703","New Hampshire",72,"2005","Cigarette"
"1704","Mississippi",71,"2005","Cigarette"
"1705","Missouri",71,"2005","Cigarette"
"1706","Iowa",70,"2005","Cigarette"
"1707","Nevada",68,"2005","Cigarette"
"1708","Indiana",68,"2005","Cigarette"
"1709","Washington",68,"2005","Cigarette"
"1710","Minnesota",67,"2005","Cigarette"
"1711","Louisiana",67,"2005","Cigarette"
"1712","Oregon",66,"2005","Cigarette"
"1713","Alaska",65,"2005","Cigarette"
"1714","Massachusetts",64,"2005","Cigarette"
"1715","Wyoming",64,"2005","Cigarette"
"1716","Arizona",63,"2005","Cigarette"
"1717","Maryland",63,"2005","Cigarette"
"1718","Delaware",61,"2005","Cigarette"
"1719","Tennessee",60,"2005","Cigarette"
"1720","Alabama",59,"2005","Cigarette"
"1721","North Carolina",59,"2005","Cigarette"
"1722","Virginia",58,"2005","Cigarette"
"1723","Nebraska",57,"2005","Cigarette"
"1724","Idaho",57,"2005","Cigarette"
"1725","Florida",57,"2005","Cigarette"
"1726","California",57,"2005","Cigarette"
"1727","Kansas",56,"2005","Cigarette"
"1728","Colorado",56,"2005","Cigarette"
"1729","New Mexico",55,"2005","Cigarette"
"1730","South Carolina",54,"2005","Cigarette"
"1731","District of Columbia",53,"2005","Cigarette"
"1732","Georgia",50,"2005","Cigarette"
"1733","Texas",49,"2005","Cigarette"
"1734","Utah",42,"2005","Cigarette"
"1735","Maine",100,"2006","Cigarette"
"1736","Rhode Island",98,"2006","Cigarette"
"1737","Vermont",98,"2006","Cigarette"
"1738","North Dakota",91,"2006","Cigarette"
"1739","South Dakota",90,"2006","Cigarette"
"1740","Michigan",86,"2006","Cigarette"
"1741","West Virginia",85,"2006","Cigarette"
"1742","Indiana",83,"2006","Cigarette"
"1743","New York",82,"2006","Cigarette"
"1744","Pennsylvania",82,"2006","Cigarette"
"1745","New Jersey",81,"2006","Cigarette"
"1746","Kentucky",80,"2006","Cigarette"
"1747","Montana",79,"2006","Cigarette"
"1748","Kansas",78,"2006","Cigarette"
"1749","Connecticut",77,"2006","Cigarette"
"1750","Mississippi",77,"2006","Cigarette"
"1751","New Hampshire",76,"2006","Cigarette"
"1752","Iowa",75,"2006","Cigarette"
"1753","Ohio",75,"2006","Cigarette"
"1754","Hawaii",74,"2006","Cigarette"
"1755","Illinois",72,"2006","Cigarette"
"1756","Oklahoma",72,"2006","Cigarette"
"1757","Arkansas",72,"2006","Cigarette"
"1758","Wisconsin",71,"2006","Cigarette"
"1759","Arizona",70,"2006","Cigarette"
"1760","Alaska",70,"2006","Cigarette"
"1761","Missouri",70,"2006","Cigarette"
"1762","Louisiana",70,"2006","Cigarette"
"1763","Wyoming",68,"2006","Cigarette"
"1764","Nevada",68,"2006","Cigarette"
"1765","New Mexico",68,"2006","Cigarette"
"1766","South Carolina",68,"2006","Cigarette"
"1767","Tennessee",67,"2006","Cigarette"
"1768","Massachusetts",66,"2006","Cigarette"
"1769","Maryland",66,"2006","Cigarette"
"1770","Minnesota",65,"2006","Cigarette"
"1771","North Carolina",65,"2006","Cigarette"
"1772","California",62,"2006","Cigarette"
"1773","Alabama",62,"2006","Cigarette"
"1774","Virginia",62,"2006","Cigarette"
"1775","Oregon",61,"2006","Cigarette"
"1776","Nebraska",60,"2006","Cigarette"
"1777","Colorado",60,"2006","Cigarette"
"1778","Washington",60,"2006","Cigarette"
"1779","Georgia",59,"2006","Cigarette"
"1780","Florida",56,"2006","Cigarette"
"1781","Texas",56,"2006","Cigarette"
"1782","District of Columbia",55,"2006","Cigarette"
"1783","Delaware",54,"2006","Cigarette"
"1784","Idaho",48,"2006","Cigarette"
"1785","Utah",44,"2006","Cigarette"
"1786","Iowa",100,"2007","Cigarette"
"1787","Rhode Island",98,"2007","Cigarette"
"1788","South Dakota",91,"2007","Cigarette"
"1789","New Hampshire",88,"2007","Cigarette"
"1790","West Virginia",88,"2007","Cigarette"
"1791","Kentucky",85,"2007","Cigarette"
"1792","Vermont",82,"2007","Cigarette"
"1793","Connecticut",81,"2007","Cigarette"
"1794","Indiana",80,"2007","Cigarette"
"1795","Delaware",80,"2007","Cigarette"
"1796","New York",80,"2007","Cigarette"
"1797","Maine",79,"2007","Cigarette"
"1798","Pennsylvania",78,"2007","Cigarette"
"1799","Wisconsin",77,"2007","Cigarette"
"1800","Michigan",77,"2007","Cigarette"
"1801","Arizona",74,"2007","Cigarette"
"1802","New Jersey",73,"2007","Cigarette"
"1803","Illinois",73,"2007","Cigarette"
"1804","Arkansas",72,"2007","Cigarette"
"1805","Tennessee",71,"2007","Cigarette"
"1806","Nebraska",71,"2007","Cigarette"
"1807","Louisiana",71,"2007","Cigarette"
"1808","South Carolina",70,"2007","Cigarette"
"1809","Maryland",70,"2007","Cigarette"
"1810","Texas",70,"2007","Cigarette"
"1811","Missouri",70,"2007","Cigarette"
"1812","Alaska",70,"2007","Cigarette"
"1813","Mississippi",69,"2007","Cigarette"
"1814","Montana",68,"2007","Cigarette"
"1815","Alabama",68,"2007","Cigarette"
"1816","North Dakota",68,"2007","Cigarette"
"1817","Ohio",68,"2007","Cigarette"
"1818","New Mexico",68,"2007","Cigarette"
"1819","Nevada",66,"2007","Cigarette"
"1820","Kansas",66,"2007","Cigarette"
"1821","Oregon",66,"2007","Cigarette"
"1822","Minnesota",65,"2007","Cigarette"
"1823","Hawaii",65,"2007","Cigarette"
"1824","North Carolina",65,"2007","Cigarette"
"1825","Oklahoma",63,"2007","Cigarette"
"1826","Massachusetts",62,"2007","Cigarette"
"1827","District of Columbia",61,"2007","Cigarette"
"1828","Virginia",60,"2007","Cigarette"
"1829","Colorado",60,"2007","Cigarette"
"1830","California",60,"2007","Cigarette"
"1831","Washington",58,"2007","Cigarette"
"1832","Florida",58,"2007","Cigarette"
"1833","Georgia",56,"2007","Cigarette"
"1834","Idaho",55,"2007","Cigarette"
"1835","Wyoming",54,"2007","Cigarette"
"1836","Utah",42,"2007","Cigarette"
"1837","Rhode Island",100,"2008","Cigarette"
"1838","West Virginia",91,"2008","Cigarette"
"1839","South Dakota",89,"2008","Cigarette"
"1840","Pennsylvania",89,"2008","Cigarette"
"1841","Vermont",88,"2008","Cigarette"
"1842","Maine",88,"2008","Cigarette"
"1843","New York",86,"2008","Cigarette"
"1844","New Hampshire",85,"2008","Cigarette"
"1845","Delaware",85,"2008","Cigarette"
"1846","Wisconsin",84,"2008","Cigarette"
"1847","Indiana",83,"2008","Cigarette"
"1848","Kentucky",80,"2008","Cigarette"
"1849","Alaska",79,"2008","Cigarette"
"1850","New Jersey",79,"2008","Cigarette"
"1851","Iowa",79,"2008","Cigarette"
"1852","Maryland",78,"2008","Cigarette"
"1853","Hawaii",77,"2008","Cigarette"
"1854","Connecticut",77,"2008","Cigarette"
"1855","Illinois",77,"2008","Cigarette"
"1856","Nebraska",75,"2008","Cigarette"
"1857","Kansas",75,"2008","Cigarette"
"1858","Mississippi",73,"2008","Cigarette"
"1859","Arkansas",73,"2008","Cigarette"
"1860","Arizona",72,"2008","Cigarette"
"1861","Michigan",71,"2008","Cigarette"
"1862","Nevada",70,"2008","Cigarette"
"1863","Massachusetts",70,"2008","Cigarette"
"1864","South Carolina",70,"2008","Cigarette"
"1865","Louisiana",69,"2008","Cigarette"
"1866","Missouri",68,"2008","Cigarette"
"1867","Virginia",67,"2008","Cigarette"
"1868","Oregon",67,"2008","Cigarette"
"1869","Texas",67,"2008","Cigarette"
"1870","Ohio",66,"2008","Cigarette"
"1871","Oklahoma",65,"2008","Cigarette"
"1872","District of Columbia",65,"2008","Cigarette"
"1873","Wyoming",63,"2008","Cigarette"
"1874","New Mexico",63,"2008","Cigarette"
"1875","Montana",63,"2008","Cigarette"
"1876","Florida",63,"2008","Cigarette"
"1877","Minnesota",63,"2008","Cigarette"
"1878","North Carolina",62,"2008","Cigarette"
"1879","Tennessee",62,"2008","Cigarette"
"1880","Alabama",61,"2008","Cigarette"
"1881","California",61,"2008","Cigarette"
"1882","Washington",61,"2008","Cigarette"
"1883","Colorado",59,"2008","Cigarette"
"1884","North Dakota",58,"2008","Cigarette"
"1885","Georgia",55,"2008","Cigarette"
"1886","Idaho",49,"2008","Cigarette"
"1887","Utah",47,"2008","Cigarette"
"1888","Rhode Island",100,"2009","Cigarette"
"1889","Arkansas",93,"2009","Cigarette"
"1890","West Virginia",92,"2009","Cigarette"
"1891","North Dakota",91,"2009","Cigarette"
"1892","South Dakota",91,"2009","Cigarette"
"1893","Florida",86,"2009","Cigarette"
"1894","Ohio",85,"2009","Cigarette"
"1895","Hawaii",85,"2009","Cigarette"
"1896","Pennsylvania",84,"2009","Cigarette"
"1897","Kentucky",84,"2009","Cigarette"
"1898","Maine",83,"2009","Cigarette"
"1899","New Hampshire",82,"2009","Cigarette"
"1900","Delaware",82,"2009","Cigarette"
"1901","Wisconsin",81,"2009","Cigarette"
"1902","Louisiana",81,"2009","Cigarette"
"1903","Vermont",81,"2009","Cigarette"
"1904","Michigan",81,"2009","Cigarette"
"1905","Illinois",81,"2009","Cigarette"
"1906","Kansas",80,"2009","Cigarette"
"1907","North Carolina",79,"2009","Cigarette"
"1908","Wyoming",79,"2009","Cigarette"
"1909","Mississippi",79,"2009","Cigarette"
"1910","Indiana",78,"2009","Cigarette"
"1911","Nevada",77,"2009","Cigarette"
"1912","New Jersey",75,"2009","Cigarette"
"1913","Missouri",75,"2009","Cigarette"
"1914","Connecticut",75,"2009","Cigarette"
"1915","New York",74,"2009","Cigarette"
"1916","Montana",74,"2009","Cigarette"
"1917","Alabama",73,"2009","Cigarette"
"1918","Tennessee",73,"2009","Cigarette"
"1919","Iowa",73,"2009","Cigarette"
"1920","Arizona",73,"2009","Cigarette"
"1921","Nebraska",72,"2009","Cigarette"
"1922","South Carolina",71,"2009","Cigarette"
"1923","Massachusetts",71,"2009","Cigarette"
"1924","New Mexico",70,"2009","Cigarette"
"1925","Oklahoma",70,"2009","Cigarette"
"1926","Texas",69,"2009","Cigarette"
"1927","Alaska",68,"2009","Cigarette"
"1928","Maryland",66,"2009","Cigarette"
"1929","Georgia",65,"2009","Cigarette"
"1930","Idaho",65,"2009","Cigarette"
"1931","Colorado",64,"2009","Cigarette"
"1932","Minnesota",63,"2009","Cigarette"
"1933","Oregon",63,"2009","Cigarette"
"1934","Washington",59,"2009","Cigarette"
"1935","District of Columbia",58,"2009","Cigarette"
"1936","California",57,"2009","Cigarette"
"1937","Virginia",54,"2009","Cigarette"
"1938","Utah",54,"2009","Cigarette"
"1939","West Virginia",100,"2010","Cigarette"
"1940","Michigan",91,"2010","Cigarette"
"1941","South Dakota",90,"2010","Cigarette"
"1942","New Mexico",88,"2010","Cigarette"
"1943","New York",86,"2010","Cigarette"
"1944","Rhode Island",86,"2010","Cigarette"
"1945","Wisconsin",86,"2010","Cigarette"
"1946","Pennsylvania",86,"2010","Cigarette"
"1947","Maine",85,"2010","Cigarette"
"1948","Delaware",83,"2010","Cigarette"
"1949","Nevada",83,"2010","Cigarette"
"1950","Oklahoma",83,"2010","Cigarette"
"1951","Missouri",81,"2010","Cigarette"
"1952","North Dakota",81,"2010","Cigarette"
"1953","Kansas",80,"2010","Cigarette"
"1954","New Jersey",80,"2010","Cigarette"
"1955","Wyoming",80,"2010","Cigarette"
"1956","Arkansas",80,"2010","Cigarette"
"1957","Massachusetts",79,"2010","Cigarette"
"1958","North Carolina",79,"2010","Cigarette"
"1959","South Carolina",78,"2010","Cigarette"
"1960","Ohio",78,"2010","Cigarette"
"1961","Kentucky",77,"2010","Cigarette"
"1962","New Hampshire",77,"2010","Cigarette"
"1963","Hawaii",76,"2010","Cigarette"
"1964","Louisiana",76,"2010","Cigarette"
"1965","Florida",75,"2010","Cigarette"
"1966","Indiana",75,"2010","Cigarette"
"1967","Washington",74,"2010","Cigarette"
"1968","Connecticut",74,"2010","Cigarette"
"1969","Vermont",73,"2010","Cigarette"
"1970","Illinois",73,"2010","Cigarette"
"1971","Mississippi",72,"2010","Cigarette"
"1972","Georgia",72,"2010","Cigarette"
"1973","Idaho",71,"2010","Cigarette"
"1974","Nebraska",70,"2010","Cigarette"
"1975","Arizona",69,"2010","Cigarette"
"1976","Alabama",68,"2010","Cigarette"
"1977","Alaska",68,"2010","Cigarette"
"1978","Montana",68,"2010","Cigarette"
"1979","Tennessee",68,"2010","Cigarette"
"1980","Iowa",67,"2010","Cigarette"
"1981","Texas",64,"2010","Cigarette"
"1982","Oregon",62,"2010","Cigarette"
"1983","Maryland",62,"2010","Cigarette"
"1984","Colorado",60,"2010","Cigarette"
"1985","Utah",59,"2010","Cigarette"
"1986","District of Columbia",58,"2010","Cigarette"
"1987","Virginia",57,"2010","Cigarette"
"1988","Minnesota",55,"2010","Cigarette"
"1989","California",55,"2010","Cigarette"
"1990","West Virginia",100,"2011","Cigarette"
"1991","Kentucky",89,"2011","Cigarette"
"1992","Indiana",88,"2011","Cigarette"
"1993","Ohio",82,"2011","Cigarette"
"1994","Illinois",81,"2011","Cigarette"
"1995","Florida",81,"2011","Cigarette"
"1996","Pennsylvania",81,"2011","Cigarette"
"1997","Vermont",80,"2011","Cigarette"
"1998","North Dakota",78,"2011","Cigarette"
"1999","Rhode Island",77,"2011","Cigarette"
"2000","New Mexico",77,"2011","Cigarette"
"2001","Maine",75,"2011","Cigarette"
"2002","Connecticut",75,"2011","Cigarette"
"2003","South Dakota",75,"2011","Cigarette"
"2004","Virginia",75,"2011","Cigarette"
"2005","Arkansas",74,"2011","Cigarette"
"2006","Michigan",74,"2011","Cigarette"
"2007","Missouri",74,"2011","Cigarette"
"2008","New York",74,"2011","Cigarette"
"2009","Tennessee",73,"2011","Cigarette"
"2010","New Jersey",73,"2011","Cigarette"
"2011","New Hampshire",73,"2011","Cigarette"
"2012","Oklahoma",73,"2011","Cigarette"
"2013","North Carolina",73,"2011","Cigarette"
"2014","Hawaii",72,"2011","Cigarette"
"2015","Mississippi",71,"2011","Cigarette"
"2016","Georgia",71,"2011","Cigarette"
"2017","Arizona",71,"2011","Cigarette"
"2018","Alabama",69,"2011","Cigarette"
"2019","Alaska",69,"2011","Cigarette"
"2020","Louisiana",69,"2011","Cigarette"
"2021","South Carolina",68,"2011","Cigarette"
"2022","Massachusetts",68,"2011","Cigarette"
"2023","Montana",68,"2011","Cigarette"
"2024","Delaware",68,"2011","Cigarette"
